"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000243543","WFDC6","up_in_WHO_II_vs_I",1,19.5089912627626,4.11318498042415,9.27634133713023,1.75398024532167e-20,4.64366269948911e-16
"ENSG00000229900","ENSG00000229900","up_in_WHO_II_vs_I",2,11.803827458746,4.1195379817465,8.38548007496693,5.05191524643603e-17,4.4583152049798e-13
"ENSG00000101448","EPPIN","up_in_WHO_II_vs_I",3,93.5456117200761,3.02240959378686,7.6377156526735,2.21109500834974e-14,6.50430448289548e-11
"ENSG00000232135","ENSG00000232135","up_in_WHO_II_vs_I",4,3.38748948524294,3.80571483231475,7.44890610626784,9.41173215819649e-14,2.26523280807502e-10
"ENSG00000260852","FBXL19-AS1","up_in_WHO_II_vs_I",5,185.924069512936,1.19621821544544,7.01759702547085,2.2571641427542e-12,2.3903368271767e-09
"ENSG00000062524","LTK","up_in_WHO_II_vs_I",6,50.7450580786149,2.77610477313059,6.97607063077052,3.0355016341778e-12,2.87017520588776e-09
"ENSG00000127561","SYNGR3","up_in_WHO_II_vs_I",7,22.8350744862913,2.68856847104397,6.85274680435911,7.24452468248331e-12,5.477835777283e-09
"ENSG00000149927","DOC2A","up_in_WHO_II_vs_I",8,52.271513951877,1.4693917635174,6.85006475764723,7.38165657017422e-12,5.477835777283e-09
"ENSG00000124102","PI3","up_in_WHO_II_vs_I",9,43.2579560550709,3.05005967983503,6.78820983333585,1.13533445891165e-11,7.70717430761181e-09
"ENSG00000114270","COL7A1","up_in_WHO_II_vs_I",10,571.084336792746,1.85826567808596,6.58140421519403,4.66025696539056e-11,2.57042298247323e-08
"ENSG00000163661","PTX3","up_in_WHO_II_vs_I",11,65.2270822395634,2.66184565143786,6.47019615650135,9.78757755996832e-11,4.62725206964574e-08
"ENSG00000256288","LINC02617","up_in_WHO_II_vs_I",12,23.5414521429091,3.19306671815128,6.44852571926639,1.1294339907599e-10,5.15547670782214e-08
"ENSG00000172828","CES3","up_in_WHO_II_vs_I",13,44.833178496065,1.40830213309167,6.36552601722599,1.94621579478801e-10,7.80697926772918e-08
"ENSG00000235387","SPAAR","up_in_WHO_II_vs_I",14,48.5435833413401,1.7247500585894,6.32486161111703,2.53459632147848e-10,9.44092114424406e-08
"ENSG00000132517","SLC52A1","up_in_WHO_II_vs_I",15,6.27206703005353,2.25657117658965,6.29217095586588,3.13056426740585e-10,1.06258575614833e-07
"ENSG00000187837","H1-2","up_in_WHO_II_vs_I",16,379.86364412335,1.99140419076293,6.29236498489976,3.12665248135448e-10,1.06258575614833e-07
"ENSG00000239672","NME1","up_in_WHO_II_vs_I",17,278.82622307116,1.05339622697043,6.29758104751912,3.02326296601244e-10,1.06258575614833e-07
"ENSG00000184678","H2BC21","up_in_WHO_II_vs_I",18,413.83239123046,1.75944952502375,6.23413126312431,4.54292044794175e-10,1.41498610422656e-07
"ENSG00000175920","DOK7","up_in_WHO_II_vs_I",19,5.71529223674963,3.03532639408069,6.15842679096915,7.34711339098563e-10,2.00521719663963e-07
"ENSG00000245648","KLRK1-AS1","up_in_WHO_II_vs_I",20,168.254071627932,1.88734417828961,6.15879745769647,7.32994008483122e-10,2.00521719663963e-07
"ENSG00000204991","SPIRE2","up_in_WHO_II_vs_I",21,223.87018897531,1.19902071352789,6.08505324248577,1.16452605363326e-09,2.90856861037176e-07
