"metaprogram","rank","gene"
"MP4",42,"GJB2"
"MP4",43,"ARL4D"
"MP4",44,"CLEC3B"
"MP4",45,"PI16"
"MP4",46,"PTGDS"
"MP4",47,"ABLIM1"
"MP4",48,"CAPG"
"MP4",49,"COL2A1"
"MP4",50,"COL9A3"
"MP5",1,"H2AFZ"
"MP5",2,"HMGB2"
"MP5",3,"NUSAP1"
"MP5",4,"TOP2A"
"MP5",5,"SMC4"
"MP5",6,"TUBA1B"
"MP5",7,"CKS1B"
"MP5",8,"HMGN2"
"MP5",9,"STMN1"
"MP5",10,"UBE2C"
"MP5",11,"H2AFV"
"MP5",12,"TUBB"
"MP5",13,"BIRC5"
"MP5",14,"HIST1H4C"
"MP5",15,"ARL6IP1"
"MP5",16,"CENPF"
"MP5",17,"CKS2"
"MP5",18,"PTTG1"
"MP5",19,"UBE2T"
"MP5",20,"CDKN3"
"MP5",21,"PCLAF"
"MP5",22,"TPX2"
"MP5",23,"TUBA1C"
"MP5",24,"TYMS"
"MP5",25,"UBE2S"
"MP5",26,"MKI67"
"MP5",27,"TUBB4B"
"MP5",28,"HMGB1"
"MP5",29,"HMMR"
"MP5",30,"PBK"
"MP5",31,"PRC1"
"MP5",32,"ASPM"
"MP5",33,"SMC2"
"MP5",34,"CKAP2"
"MP5",35,"LGALS1"
"MP5",36,"MAD2L1"
"MP5",37,"MT2A"
"MP5",38,"NUF2"
"MP5",39,"CALM3"
"MP5",40,"PCNA"
"MP5",41,"DEK"
"MP5",42,"TK1"
"MP5",43,"CCNB1"
"MP5",44,"CDK1"
"MP5",45,"MXD3"
"MP5",46,"TMEM106C"
"MP5",47,"CALM2"
"MP5",48,"NUCKS1"
"MP5",49,"DUT"
"MP5",50,"NUCB2"
"MP6",1,"CCL4"
"MP6",2,"CCL4L2"
"MP6",3,"CD74"
"MP6",4,"HLA-DRA"
"MP6",5,"HLA-DPA1"
"MP6",6,"HLA-DRB1"
"MP6",7,"IER3"
"MP6",8,"CCL3"
"MP6",9,"BTG1"
"MP6",10,"CCL3L1"
"MP6",11,"CXCL8"
"MP6",12,"G0S2"
"MP6",13,"HLA-DPB1"
"MP6",14,"HLA-DQA1"
"MP6",15,"IL1B"
"MP6",16,"HLA-DRB5"
"MP6",17,"MT2A"
"MP6",18,"SPP1"
"MP6",19,"PLAUR"
"MP6",20,"SOD2"
"MP6",21,"SRGN"
"MP6",22,"TYROBP"
"MP6",23,"OLR1"
"MP6",24,"CCL20"
"MP6",25,"FTH1"
"MP6",26,"FTL"
"MP6",27,"HLA-DQB1"
"MP6",28,"HSPB1"
"MP6",29,"NEAT1"
"MP6",30,"BCL2A1"
"MP6",31,"CEBPB"
"MP6",32,"CD83"
"MP6",33,"HSPA1A"
"MP6",34,"MT-CO2"
"MP6",35,"NFKBIA"
"MP6",36,"TNF"
"MP6",37,"GPR183"
"MP6",38,"HSPH1"
"MP6",39,"REL"
"MP6",40,"HIST1H1C"
"MP6",41,"HSPA6"
"MP6",42,"ID2"
"MP6",43,"KLF6"
"MP6",44,"RGCC"
"MP6",45,"RGS1"
"MP6",46,"AIF1"
"MP6",47,"APOC1"
"MP6",48,"B2M"
"MP6",49,"C1QA"
"MP6",50,"CD44"
"MP7",1,"CEMIP"
"MP7",2,"COL3A1"
"MP7",3,"SULF1"
"MP7",4,"SLC26A2"
"MP7",5,"NOV"
"MP7",6,"CRIM1"
"MP7",7,"LTBP2"
"MP7",8,"NEAT1"
"MP7",9,"SLC12A2"
"MP7",10,"HLA-DRA"
"MP7",11,"VCAN"
"MP7",12,"CTGF"
"MP7",13,"KIAA1324L"
"MP7",14,"MT-ND6"
"MP7",15,"ABLIM1"
"MP7",16,"COL1A1"
"MP7",17,"KCNQ1OT1"
"MP7",18,"AHNAK"
"MP7",19,"EGFL6"
"MP7",20,"ITIH5"
"MP7",21,"DCN"
"MP7",22,"ELN"
"MP7",23,"APP"
"MP7",24,"CD74"
"MP7",25,"FN1"
"MP7",26,"FTX"
"MP7",27,"HLA-DRB1"
"MP7",28,"HSPA5"
"MP7",29,"MEG3"
"MP7",30,"NPNT"
"MP7",31,"SCARA5"
"MP7",32,"TNXB"
"MP7",33,"ADAMTSL3"
"MP7",34,"CCL4L2"
"MP7",35,"F3"
"MP7",36,"LRP1B"
"MP7",37,"NDNF"
"MP7",38,"NORAD"
"MP7",39,"SLC47A1"
"MP7",40,"CCNL1"
"MP7",41,"COL6A3"
"MP7",42,"TSPYL2"
"MP7",43,"COL12A1"
"MP7",44,"KIAA1755"
"MP7",45,"LEPR"
"MP7",46,"OLFML3"
"MP7",47,"SEMA3C"
"MP7",48,"SLC6A20"
"MP7",49,"TIMP3"
"MP7",50,"COL8A1"
"MP8",1,"CRABP1"
"MP8",2,"SLC26A2"
"MP8",3,"APOE"
"MP8",4,"DNASE1L3"
"MP8",5,"GJB6"
"MP8",6,"IFI27"
"MP8",7,"IFI27L2"
"MP8",8,"ISYNA1"
"MP8",9,"ITM2C"
"MP8",10,"PTGDS"
"MP8",11,"GJB2"
"MP8",12,"PLTP"
"MP8",13,"RETREG1"
"MP8",14,"TMEM205"
"MP8",15,"AKAP12"
"MP8",16,"CLEC3B"
"MP8",17,"DNPH1"
"MP8",18,"FN1"
"MP8",19,"FXYD1"
"MP8",20,"ISLR"
"MP8",21,"MT-CO1"
"MP8",22,"NDUFA4L2"
"MP8",23,"RBP1"
"MP8",24,"SLC47A1"
"MP8",25,"SLC4A4"
"MP8",26,"STMN1"
"MP8",27,"C19orf33"
"MP8",28,"CKB"
"MP8",29,"CLEC2B"
"MP8",30,"CLIC3"
"MP8",31,"CRABP2"
"MP8",32,"DSP"
"MP8",33,"GJA1"
"MP8",34,"MT-ND4"
"MP8",35,"RAMP2"
