"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj","scrna_grade_rho","scrna_grade_p","scrna_grade_fdr","scrna_mean_count_tumor","scrna_mean_count_other","scrna_pct_tumor","scrna_pct_other","scrna_tumor_specificity_log2","aligned_scrna_grade","recovered_GSE16581","recovered_GSE74385","discovery_strength","internal_evidence_score"
"ENSG00000186867","QRFPR","down_in_WHO_II_vs_I",1,466.787499568497,-4.40947250211732,-8.38846719761934,4.92521446931264e-17,4.4583152049798e-13,-0.647435897435897,0.00669951160508864,0.024995512804913,0.0588842254974413,0.00566283358646127,0.0374945968180487,0.00465393794749403,2.13612152205877,TRUE,TRUE,TRUE,1,7
"ENSG00000186766","FOXI2","down_in_WHO_II_vs_I",2,74.0956698950203,-3.58712802254891,-8.11634738818808,4.80424202575032e-16,3.17980769079349e-12,-0.661724102537295,0.00523750884211578,0.0213529206640105,0.0101928413068031,0.00124755912345411,0.00927255741316564,0.00113907572141462,0.849797892311428,TRUE,TRUE,TRUE,0.994974874371859,6.98994974874372
"ENSG00000260852","FBXL19-AS1","up_in_WHO_II_vs_I",5,185.924069512936,1.19621821544544,7.01759702547085,2.2571641427542e-12,2.3903368271767e-09,0.90118386189566,1.89315170592045e-06,0.000301011121241352,0.018907650905643,0.00515296159687568,0.0178897611444985,0.00496853981340855,0.931851585959554,TRUE,TRUE,TRUE,0.979899497487437,6.95979899497487
"ENSG00000162551","ALPL","down_in_WHO_II_vs_I",7,6197.45869179918,-2.68458688610033,-7.38954838157923,1.4732835320692e-13,2.4929481301007e-10,-0.728616739405002,0.00136774529405623,0.00805450006499778,0.246761576753071,0.0256780212627468,0.145363024108649,0.0164786287697982,2.84732181626964,TRUE,TRUE,TRUE,0.969849246231156,6.93969849246231
"ENSG00000124102","PI3","up_in_WHO_II_vs_I",9,43.2579560550709,3.05005967983503,6.78820983333585,1.13533445891165e-11,7.70717430761181e-09,0.85644423754623,2.28523625339058e-05,0.000908381410722755,0.706513100101789,0.0640702972445216,0.0570297140148082,0.011661965719245,3.27402604983933,TRUE,TRUE,TRUE,0.959798994974874,6.91959798994975
"ENSG00000114270","COL7A1","up_in_WHO_II_vs_I",10,571.084336792746,1.85826567808596,6.58140421519403,4.66025696539056e-11,2.57042298247323e-08,0.613571991077896,0.0114735895917257,0.0380062655225915,0.0437413723384971,0.00459969624647429,0.0337297990713499,0.00405727923627685,1.88009480897939,TRUE,TRUE,TRUE,0.954773869346734,6.90954773869347
"ENSG00000100234","TIMP3","down_in_WHO_II_vs_I",13,46409.4706465232,-1.98131702472711,-6.98004164182241,2.95092583922304e-12,2.87017520588776e-09,-0.562440991821405,0.0233338384540527,0.070001515362158,2.2674400769692,0.324300282056845,0.500578663357363,0.0719136472119766,2.76819661764735,TRUE,TRUE,TRUE,0.939698492462312,6.87939698492462
"ENSG00000235387","SPAAR","up_in_WHO_II_vs_I",14,48.5435833413401,1.7247500585894,6.32486161111703,2.53459632147848e-10,9.44092114424406e-08,0.67748574014851,0.00393303032941052,0.0164566269046388,0.0144874994771114,0.00373182903015839,0.0120752401801525,0.00295074853547407,0.835024428723518,TRUE,TRUE,TRUE,0.934673366834171,6.86934673366834
"ENSG00000239672","NME1","up_in_WHO_II_vs_I",17,278.82622307116,1.05339622697043,6.29758104751912,3.02326296601244e-10,1.06258575614833e-07,0.67748574014851,0.00393303032941052,0.0164566269046388,1.60346919140511,0.238696029507485,0.544724402861246,0.156487307441961,2.69771065048735,TRUE,TRUE,TRUE,0.919597989949749,6.8391959798995
"ENSG00000175920","DOK7","up_in_WHO_II_vs_I",19,5.71529223674963,3.03532639408069,6.15842679096915,7.34711339098563e-10,2.00521719663963e-07,0.744843022614591,0.000931596346572783,0.0059249527642029,0.00105972084721893,0.000499023649381645,0.000934227588995636,0.000499023649381645,0.0679609907713489,TRUE,TRUE,TRUE,0.909547738693467,6.81909547738693
"ENSG00000122121","XPNPEP2","down_in_WHO_II_vs_I",19,295.797960096581,-3.41519860230266,-6.6374714444941,3.19109755045308e-11,1.83661538365751e-08,-0.639137490706142,0.00768715583484831,0.0271612839497974,0.0145153868678277,0.00128010414406596,0.0136648214509809,0.00123671078325016,1.11990714087038,TRUE,TRUE,TRUE,0.909547738693467,6.81909547738693
"ENSG00000204991","SPIRE2","up_in_WHO_II_vs_I",21,223.87018897531,1.19902071352789,6.08505324248577,1.16452605363326e-09,2.90856861037176e-07,0.549658242007282,0.0274095683524968,0.0792385703281273,0.0479523683366566,0.00448036450423085,0.0434903858220506,0.00432848774137557,2.00076970213986,TRUE,TRUE,TRUE,0.899497487437186,6.79899497487437
"ENSG00000069011","PITX1","up_in_WHO_II_vs_I",22,75.6066911547605,3.38853121134392,6.04052202969978,1.53616408095508e-09,3.63124500386479e-07,0.85644423754623,2.28523625339058e-05,0.000908381410722755,0.651770152125716,0.018225211542634,0.190345385334021,0.00796268170969842,4.55130432194122,TRUE,TRUE,TRUE,0.894472361809045,6.78894472361809
"ENSG00000138180","CEP55","up_in_WHO_II_vs_I",23,85.4324776064463,1.28368392716333,6.01976531486391,1.74670134347052e-09,3.95247162977625e-07,0.658311615427326,0.00556093093728412,0.0215655614397116,0.0834251293277744,0.00610761553482317,0.0368950179176485,0.0049576914732046,2.53606771292946,TRUE,TRUE,TRUE,0.889447236180904,6.77889447236181
"ENSG00000169618","PROKR1","down_in_WHO_II_vs_I",24,97.6555589881043,-3.46787999471277,-6.40827146815758,1.47178680309152e-10,6.49425926864135e-08,-0.826923076923077,7.78998014357662e-05,0.00112600622075335,0.00249592146910774,5.4241701019744e-05,0.0024819777737496,5.4241701019744e-05,0.321679870477429,TRUE,TRUE,TRUE,0.884422110552764,6.76884422110553
"ENSG00000240498","CDKN2B-AS1","up_in_WHO_II_vs_I",24,13.6198368909471,1.50663979239317,6.02087938292549,1.73471996140002e-09,3.95247162977625e-07,0.543266867100221,0.0296411162596969,0.0841595979516393,0.0104298841278916,0.00717075287481015,0.00971875566462624,0.00705142113256672,0.248905909012661,TRUE,TRUE,TRUE,0.884422110552764,6.76884422110553
